,min_x,min_y,max_x,max_y
371,121.0625,-38.5276,121.8625,-37.7276
372,121.0625,-37.7276,121.8625,-36.9276
373,121.0625,-36.9276,121.8625,-36.1276
374,121.0625,-36.1276,121.8625,-35.3276
375,121.0625,-35.3276,121.8625,-34.5276
376,121.0625,-34.5276,121.8625,-33.7276
377,121.0625,-33.7276,121.8625,-32.9276
378,121.0625,-32.9276,121.8625,-32.1276
379,121.0625,-32.1276,121.8625,-31.3276
380,121.0625,-31.3276,121.8625,-30.5276
381,121.0625,-30.5276,121.8625,-29.7276
382,121.0625,-29.7276,121.8625,-28.9276
383,121.0625,-28.9276,121.8625,-28.1276
384,121.0625,-28.1276,121.8625,-27.3276
385,121.0625,-27.3276,121.8625,-26.5276
386,121.0625,-26.5276,121.8625,-25.7276
387,121.0625,-25.7276,121.8625,-24.9276
388,121.0625,-24.9276,121.8625,-24.1276
389,121.0625,-24.1276,121.8625,-23.3276
390,121.0625,-23.3276,121.8625,-22.5276
391,121.0625,-22.5276,121.8625,-21.7276
392,121.0625,-21.7276,121.8625,-20.9276
393,121.0625,-20.9276,121.8625,-20.1276
394,121.0625,-20.1276,121.8625,-19.3276
395,121.0625,-19.3276,121.8625,-18.5276
396,121.0625,-18.5276,121.8625,-17.7276
397,121.0625,-17.7276,121.8625,-16.9276
398,121.0625,-16.9276,121.8625,-16.1276
399,121.0625,-16.1276,121.8625,-15.3276
400,121.0625,-15.3276,121.8625,-14.5276
401,121.0625,-14.5276,121.8625,-13.7276
402,121.0625,-13.7276,121.8625,-12.9276
403,121.0625,-12.9276,121.8625,-12.1276
404,121.0625,-12.1276,121.8625,-11.3276
405,121.0625,-11.3276,121.8625,-10.5276
406,121.0625,-10.5276,121.8625,-9.7276
407,121.8625,-39.3276,122.6625,-38.5276
408,121.8625,-38.5276,122.6625,-37.7276
409,121.8625,-37.7276,122.6625,-36.9276
410,121.8625,-36.9276,122.6625,-36.1276
411,121.8625,-36.1276,122.6625,-35.3276
412,121.8625,-35.3276,122.6625,-34.5276
413,121.8625,-34.5276,122.6625,-33.7276
414,121.8625,-33.7276,122.6625,-32.9276
415,121.8625,-32.9276,122.6625,-32.1276
416,121.8625,-32.1276,122.6625,-31.3276
417,121.8625,-31.3276,122.6625,-30.5276
418,121.8625,-30.5276,122.6625,-29.7276
419,121.8625,-29.7276,122.6625,-28.9276
420,121.8625,-28.9276,122.6625,-28.1276
421,121.8625,-28.1276,122.6625,-27.3276
422,121.8625,-27.3276,122.6625,-26.5276
423,121.8625,-26.5276,122.6625,-25.7276
424,121.8625,-25.7276,122.6625,-24.9276
425,121.8625,-24.9276,122.6625,-24.1276
426,121.8625,-24.1276,122.6625,-23.3276
427,121.8625,-23.3276,122.6625,-22.5276
428,121.8625,-22.5276,122.6625,-21.7276
429,121.8625,-21.7276,122.6625,-20.9276
430,121.8625,-20.9276,122.6625,-20.1276
431,121.8625,-20.1276,122.6625,-19.3276
432,121.8625,-19.3276,122.6625,-18.5276
433,121.8625,-18.5276,122.6625,-17.7276
434,121.8625,-17.7276,122.6625,-16.9276
435,121.8625,-16.9276,122.6625,-16.1276
436,121.8625,-16.1276,122.6625,-15.3276
437,121.8625,-15.3276,122.6625,-14.5276
438,121.8625,-14.5276,122.6625,-13.7276
439,121.8625,-13.7276,122.6625,-12.9276
440,121.8625,-12.9276,122.6625,-12.1276
441,121.8625,-12.1276,122.6625,-11.3276
442,121.8625,-11.3276,122.6625,-10.5276
443,121.8625,-10.5276,122.6625,-9.7276
444,122.6625,-39.3276,123.4625,-38.5276
445,122.6625,-38.5276,123.4625,-37.7276
446,122.6625,-37.7276,123.4625,-36.9276
447,122.6625,-36.9276,123.4625,-36.1276
448,122.6625,-36.1276,123.4625,-35.3276
449,122.6625,-35.3276,123.4625,-34.5276
450,122.6625,-34.5276,123.4625,-33.7276
451,122.6625,-33.7276,123.4625,-32.9276
452,122.6625,-32.9276,123.4625,-32.1276
453,122.6625,-32.1276,123.4625,-31.3276
454,122.6625,-31.3276,123.4625,-30.5276
455,122.6625,-30.5276,123.4625,-29.7276
456,122.6625,-29.7276,123.4625,-28.9276
457,122.6625,-28.9276,123.4625,-28.1276
458,122.6625,-28.1276,123.4625,-27.3276
459,122.6625,-27.3276,123.4625,-26.5276
460,122.6625,-26.5276,123.4625,-25.7276
461,122.6625,-25.7276,123.4625,-24.9276
462,122.6625,-24.9276,123.4625,-24.1276
463,122.6625,-24.1276,123.4625,-23.3276
464,122.6625,-23.3276,123.4625,-22.5276
465,122.6625,-22.5276,123.4625,-21.7276
466,122.6625,-21.7276,123.4625,-20.9276
467,122.6625,-20.9276,123.4625,-20.1276
468,122.6625,-20.1276,123.4625,-19.3276
469,122.6625,-19.3276,123.4625,-18.5276
470,122.6625,-18.5276,123.4625,-17.7276
471,122.6625,-17.7276,123.4625,-16.9276
472,122.6625,-16.9276,123.4625,-16.1276
473,122.6625,-16.1276,123.4625,-15.3276
474,122.6625,-15.3276,123.4625,-14.5276
475,122.6625,-14.5276,123.4625,-13.7276
476,122.6625,-13.7276,123.4625,-12.9276
477,122.6625,-12.9276,123.4625,-12.1276
478,122.6625,-12.1276,123.4625,-11.3276
479,122.6625,-11.3276,123.4625,-10.5276
480,122.6625,-10.5276,123.4625,-9.7276
481,123.4625,-39.3276,124.2625,-38.5276
482,123.4625,-38.5276,124.2625,-37.7276
483,123.4625,-37.7276,124.2625,-36.9276
484,123.4625,-36.9276,124.2625,-36.1276
485,123.4625,-36.1276,124.2625,-35.3276
486,123.4625,-35.3276,124.2625,-34.5276
487,123.4625,-34.5276,124.2625,-33.7276
488,123.4625,-33.7276,124.2625,-32.9276
489,123.4625,-32.9276,124.2625,-32.1276
490,123.4625,-32.1276,124.2625,-31.3276
